id,title,current_file_path,current_overlap,current_fuzzy,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
81489,Carnivorous,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,0.0,0.1026,/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,0.0,0.1026,0.0,0.0,1,0,no
82972,Curio,/fLD3a9bc24ioDcPb2VVwat9HO00.jpg,0.0,0.2286,/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1.0,0.0917,1.0,-0.1369,2,1,overlap_gain
83833,Nostrum,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,0.0,0.0,/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,0.0,0.0,0.0,0.0,1,0,no
84233,Don't Hang Up,/1vVhbo2yoVdoxIdkQWPifQtYfaN.jpg,0.3333,0.1374,/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,1.0,0.241,0.6667,0.1036,5,1,overlap_gain
92312,Django the Bastard,/lM9kTdGGSOTkSIHLbXX0SeZRQGr.jpg,0.3333,0.3429,/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,1.0,0.5,0.6667,0.1571,5,1,overlap_gain
95008,Scream... and Die!,/34LrQxQMDUboPHwEuy2lTL6R8BQ.jpg,0.0,0.375,/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,1.0,1.0,1.0,0.625,5,1,overlap_gain
100467,The Hand That Feeds the Dead,/xoE8nwmet7eQMQRTZ2rRJQmMJ86.jpg,0.0,0.2381,/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,1.0,1.0,1.0,0.7619,2,1,overlap_gain
101730,Henge,/6lWQjl6cQwBT8lF0a5g52S6n2lb.jpg,0.0,0.1818,/g1273UI7b05AxfIifNoW17oX5cf.jpg,0.0,0.2222,0.0,0.0404,2,0,no
102762,Awakening,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,0.0,0.0038,/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,0.0,0.0038,0.0,0.0,1,0,no
109703,Cadaver Bay,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,0.0,0.1205,/nzADzqDkgkilCPaQf1sNsR4X2cB.jpg,0.0,0.1205,0.0,0.0,1,0,no
109707,Flora,/jgofwLTLMVt2Xp4aPSqly7Nnmm6.jpg,0.0,0.099,/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,1.0,1.0,1.0,0.901,5,1,overlap_gain
110772,Stille Nacht IV: Can't Go Wrong Without You,/cgQCJZaVoeCkdt13eh9ot8acZqd.jpg,0.0,0.2198,/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,0.875,0.6667,0.875,0.4469,3,1,overlap_gain
122742,El asesino del parking,/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg,0.0,0.0255,/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg,0.0,0.0255,0.0,0.0,1,0,no
124046,B.O.R.N.,/trUBdVKkA3K2G1czud2hejVlYGl.jpg,0.0,0.1,/trUBdVKkA3K2G1czud2hejVlYGl.jpg,0.0,0.1,0.0,0.0,2,0,no
125294,Rough Draft,/eYgvetyNQK3paZqZ1UvPjbvRuHy.jpg,0.0,0.1379,/w46brjapQYaZon6GHtiVeehmJ4T.jpg,1.0,0.274,1.0,0.1361,2,1,overlap_gain
128655,Haunted High,/vvBldMlCmq7WDI6eoWIHSAe1JfE.jpg,0.0,0.1791,/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,0.5,0.1639,0.5,-0.0152,3,1,overlap_gain
131575,Fear Has 1000 Eyes,/z3lzHWlGRs5pD3qgDlIDtFAMojH.jpg,0.0,0.202,/vwz6fTY8YFkouYjeTMJY9l4pEwq.jpg,0.75,1.0,0.75,0.798,2,1,overlap_gain
